record_id,craft_cluster,state,craft_category,material,production_days,artisan_experience_years,raw_material_cost_inr,daily_wage_rate_inr,labor_cost_inr,cost_floor_inr,fair_trade_price_inr,gi_tagged,dye_type,seasonal_quarter,festive_multiplier,market_clearing_price_inr,demand_score,units_sold_monthly,buyer_rating
KS-CRAFT-0020,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,10,16,1822.72,540.0,5400.0,7222.72,9028.4,1,Natural Beeswax Patina,Q2 (Apr-Jun),0.95,10401.89,71.5,15,4.68
KS-CRAFT-0021,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,6,38,2053.86,560.0,3360.0,5413.86,6767.32,1,Vegetable Dye Borders,Q3 (Jul-Sep),1.15,10389.09,91.4,24,4.79
KS-CRAFT-0022,Bastar Wrought Iron,Chhattisgarh,Metalwork,Hand-Forged Recycled Iron,7,6,744.97,540.0,3780.0,4524.97,5656.21,1,Charcoal Forge Oxidation,Q1 (Jan-Mar),1.1,7116.89,90.2,22,4.47
KS-CRAFT-0023,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,11,18,2715.51,620.0,6820.0,9535.51,11919.39,1,Metallic Zari & Organic Dip,Q2 (Apr-Jun),0.95,14505.3,76.9,17,4.88
KS-CRAFT-0024,Channapatna Lacquerware,Karnataka,Woodcraft,Seasoned Hale Wood & Vegetable Lac,3,28,417.08,650.0,1950.0,2367.08,2958.85,1,Natural Vegetable Resins,Q2 (Apr-Jun),0.95,3706.19,83.6,21,4.65
KS-CRAFT-0025,Kashmiri Pashmina,Jammu & Kashmir,Textiles,Grade-A Changthangi Cashmere,9,35,9607.53,750.0,6750.0,16357.53,20446.91,1,Pure Natural Cashmere,Q1 (Jan-Mar),1.1,31853.21,95.0,20,4.84
KS-CRAFT-0026,Bastar Wrought Iron,Chhattisgarh,Metalwork,Hand-Forged Recycled Iron,6,36,1482.24,540.0,3240.0,4722.24,5902.8,1,Black Oxide Patina,Q3 (Jul-Sep),1.15,9701.45,88.9,22,4.52
KS-CRAFT-0027,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,9,16,3411.55,620.0,5580.0,8991.55,11239.44,1,Metallic Zari & Organic Dip,Q2 (Apr-Jun),0.95,13642.68,82.6,18,4.81
KS-CRAFT-0028,Pochampally Ikat,Telangana,Textiles,Pure Handloom Silk,9,5,3356.31,680.0,6120.0,9476.31,11845.39,1,Natural Indigo/Madder,Q1 (Jan-Mar),1.1,15723.21,87.0,21,4.79
KS-CRAFT-0029,Jaipur Blue Pottery,Rajasthan,Pottery,"Quartz Powder, Fuller's Earth & Glass",2,12,536.53,580.0,1160.0,1696.53,2120.66,1,Copper Oxide Green Glaze,Q1 (Jan-Mar),1.1,2895.49,85.5,16,4.53
KS-CRAFT-0030,Pochampally Ikat,Telangana,Textiles,Pure Handloom Silk,6,9,2973.37,680.0,4080.0,7053.37,8816.71,1,Vegetable Dye Blend,Q3 (Jul-Sep),1.15,12884.01,97.3,25,4.71
KS-CRAFT-0031,Mithila Madhubani,Bihar,Folk Painting,Handmade Recycled Paper & Canvas,5,24,322.31,520.0,2600.0,2922.31,3652.89,1,Organic Mineral Pigments,Q2 (Apr-Jun),0.95,4649.46,82.7,20,4.62
KS-CRAFT-0032,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,5,17,5891.95,620.0,3100.0,8991.95,11239.94,1,Vegetable Dye Blend,Q4 (Oct-Dec),1.45,20233.35,100.0,25,4.81
KS-CRAFT-0033,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,9,7,1429.35,540.0,4860.0,6289.35,7861.69,0,Oxidized Brass Finish,Q4 (Oct-Dec),1.45,11740.79,100.0,23,4.66
KS-CRAFT-0034,Ajrakh Handblock Print,Gujarat,Textiles,Organic Modal Cotton,3,19,1915.56,600.0,1800.0,3715.56,4644.45,1,Pomegranate Rind Extract,Q1 (Jan-Mar),1.1,6200.65,91.3,19,4.75
KS-CRAFT-0035,Jaipur Blue Pottery,Rajasthan,Pottery,"Quartz Powder, Fuller's Earth & Glass",5,15,1484.43,580.0,2900.0,4384.43,5480.54,1,Copper Oxide Green Glaze,Q1 (Jan-Mar),1.1,7156.0,95.6,21,4.63
KS-CRAFT-0036,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,10,24,1032.95,540.0,5400.0,6432.95,8041.19,1,Natural Beeswax Patina,Q3 (Jul-Sep),1.15,12291.46,91.5,18,4.55
KS-CRAFT-0037,Jaipur Blue Pottery,Rajasthan,Pottery,"Quartz Powder, Fuller's Earth & Glass",6,29,596.38,580.0,3480.0,4076.38,5095.48,1,Copper Oxide Green Glaze,Q3 (Jul-Sep),1.15,7929.87,99.3,23,4.53
KS-CRAFT-0038,Bastar Wrought Iron,Chhattisgarh,Metalwork,Hand-Forged Recycled Iron,4,30,715.61,540.0,2160.0,2875.61,3594.51,1,Black Oxide Patina,Q1 (Jan-Mar),1.1,5263.1,89.3,17,4.57
KS-CRAFT-0039,Mithila Madhubani,Bihar,Folk Painting,Handmade Recycled Paper & Canvas,4,24,763.91,520.0,2080.0,2843.91,3554.89,1,Natural Plant Extracts (Haldi/Neel),Q1 (Jan-Mar),1.1,5173.96,86.5,16,4.56
KS-CRAFT-0040,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,5,15,1765.29,540.0,2700.0,4465.29,5581.61,1,Oxidized Brass Finish,Q4 (Oct-Dec),1.45,10099.81,100.0,23,4.45
KS-CRAFT-0041,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,8,36,2956.31,620.0,4960.0,7916.31,9895.39,1,Metallic Zari & Organic Dip,Q4 (Oct-Dec),1.45,20478.21,100.0,18,4.87
KS-CRAFT-0042,Bastar Wrought Iron,Chhattisgarh,Metalwork,Hand-Forged Recycled Iron,5,35,1073.92,540.0,2700.0,3773.92,4717.4,1,Black Oxide Patina,Q3 (Jul-Sep),1.15,7695.03,97.2,21,4.51
KS-CRAFT-0043,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,12,18,1820.73,540.0,6480.0,8300.73,10375.91,1,Natural Beeswax Patina,Q3 (Jul-Sep),1.15,15426.11,90.6,18,4.67
KS-CRAFT-0044,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,7,12,3194.42,620.0,4340.0,7534.42,9418.02,1,Metallic Zari & Organic Dip,Q2 (Apr-Jun),0.95,10922.75,75.8,16,4.77
KS-CRAFT-0045,Jaipur Blue Pottery,Rajasthan,Pottery,"Quartz Powder, Fuller's Earth & Glass",6,4,1537.97,580.0,3480.0,5017.97,6272.46,1,Copper Oxide Green Glaze,Q4 (Oct-Dec),1.45,10750.64,100.0,20,4.55
KS-CRAFT-0046,Jaipur Blue Pottery,Rajasthan,Pottery,"Quartz Powder, Fuller's Earth & Glass",5,30,702.33,580.0,2900.0,3602.33,4502.91,1,Copper Oxide Green Glaze,Q2 (Apr-Jun),0.95,5621.21,80.3,17,4.49
KS-CRAFT-0047,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,7,28,1761.42,560.0,3920.0,5681.42,7101.77,1,Natural Unbleached Wool Hues,Q2 (Apr-Jun),0.95,8565.35,77.0,19,4.7
KS-CRAFT-0048,Channapatna Lacquerware,Karnataka,Woodcraft,Seasoned Hale Wood & Vegetable Lac,3,23,398.16,650.0,1950.0,2348.16,2935.2,1,Natural Vegetable Resins,Q4 (Oct-Dec),1.45,5390.87,100.0,21,4.86
KS-CRAFT-0049,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,8,25,1770.95,560.0,4480.0,6250.95,7813.69,1,Natural Unbleached Wool Hues,Q1 (Jan-Mar),1.1,11543.78,92.0,22,4.89
KS-CRAFT-0050,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,6,33,1353.24,540.0,3240.0,4593.24,5741.55,1,Natural Beeswax Patina,Q1 (Jan-Mar),1.1,8516.49,86.9,18,4.6
KS-CRAFT-0051,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,9,4,2664.82,620.0,5580.0,8244.82,10306.02,0,Vegetable Dye Blend,Q2 (Apr-Jun),0.95,9983.19,70.8,13,4.92
KS-CRAFT-0052,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,8,10,2515.56,540.0,4320.0,6835.56,8544.45,1,Natural Beeswax Patina,Q1 (Jan-Mar),1.1,11289.25,89.1,18,4.58
KS-CRAFT-0053,Ajrakh Handblock Print,Gujarat,Textiles,Organic Modal Cotton,6,9,1833.5,600.0,3600.0,5433.5,6791.88,1,Pomegranate Rind Extract,Q1 (Jan-Mar),1.1,9189.87,94.3,22,4.66
KS-CRAFT-0054,Bastar Wrought Iron,Chhattisgarh,Metalwork,Hand-Forged Recycled Iron,6,37,1289.02,540.0,3240.0,4529.02,5661.28,1,Black Oxide Patina,Q3 (Jul-Sep),1.15,8903.71,97.1,19,4.66
KS-CRAFT-0055,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,12,32,3248.61,620.0,7440.0,10688.61,13360.76,1,Vegetable Dye Blend,Q3 (Jul-Sep),1.15,20366.38,94.0,19,4.87
KS-CRAFT-0056,Ajrakh Handblock Print,Gujarat,Textiles,Organic Modal Cotton,5,20,1019.49,600.0,3000.0,4019.49,5024.36,1,16-Stage Natural Indigo & Madder,Q3 (Jul-Sep),1.15,7079.4,96.9,21,4.74
KS-CRAFT-0057,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,6,8,2227.28,560.0,3360.0,5587.28,6984.1,1,Vegetable Dye Borders,Q4 (Oct-Dec),1.45,12465.23,100.0,22,4.77
KS-CRAFT-0058,Bastar Wrought Iron,Chhattisgarh,Metalwork,Hand-Forged Recycled Iron,5,38,1496.29,540.0,2700.0,4196.29,5245.36,1,Black Oxide Patina,Q3 (Jul-Sep),1.15,8148.46,90.8,17,4.5
KS-CRAFT-0059,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,8,33,3130.45,620.0,4960.0,8090.45,10113.06,1,Vegetable Dye Blend,Q2 (Apr-Jun),0.95,13618.73,82.3,16,4.84
KS-CRAFT-0060,Channapatna Lacquerware,Karnataka,Woodcraft,Seasoned Hale Wood & Vegetable Lac,5,5,338.61,650.0,3250.0,3588.61,4485.76,0,Natural Vegetable Resins,Q1 (Jan-Mar),1.1,5208.12,73.6,18,4.77
KS-CRAFT-0061,Pochampally Ikat,Telangana,Textiles,Pure Handloom Silk,10,24,2444.66,680.0,6800.0,9244.66,11555.83,1,Natural Indigo/Madder,Q3 (Jul-Sep),1.15,16863.99,98.8,18,4.67
KS-CRAFT-0062,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,7,6,1933.0,560.0,3920.0,5853.0,7316.25,1,Vegetable Dye Borders,Q1 (Jan-Mar),1.1,9232.6,86.8,19,4.75
KS-CRAFT-0063,Kashmiri Pashmina,Jammu & Kashmir,Textiles,Grade-A Changthangi Cashmere,23,31,8113.59,750.0,17250.0,25363.59,31704.49,1,Pure Natural Cashmere,Q2 (Apr-Jun),0.95,39627.38,79.5,18,4.99
KS-CRAFT-0064,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,8,13,2154.81,540.0,4320.0,6474.81,8093.51,1,Natural Beeswax Patina,Q2 (Apr-Jun),0.95,9187.63,76.8,18,4.57
KS-CRAFT-0065,Pochampally Ikat,Telangana,Textiles,Pure Handloom Silk,7,32,3038.09,680.0,4760.0,7798.09,9747.61,1,Natural Indigo/Madder,Q2 (Apr-Jun),0.95,13000.34,81.7,19,4.82
KS-CRAFT-0066,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,5,12,1934.67,540.0,2700.0,4634.67,5793.34,1,Natural Beeswax Patina,Q4 (Oct-Dec),1.45,9903.54,100.0,20,4.64
KS-CRAFT-0067,Kashmiri Pashmina,Jammu & Kashmir,Textiles,Grade-A Changthangi Cashmere,21,22,5681.36,750.0,15750.0,21431.36,26789.2,1,Pure Natural Cashmere,Q3 (Jul-Sep),1.15,39720.99,94.0,17,4.81
KS-CRAFT-0068,Jaipur Blue Pottery,Rajasthan,Pottery,"Quartz Powder, Fuller's Earth & Glass",6,8,737.92,580.0,3480.0,4217.92,5272.4,1,Cobalt Oxide Blue Glaze,Q3 (Jul-Sep),1.15,7686.45,96.3,19,4.46
KS-CRAFT-0069,Mithila Madhubani,Bihar,Folk Painting,Handmade Recycled Paper & Canvas,6,20,886.36,520.0,3120.0,4006.36,5007.95,1,Organic Mineral Pigments,Q4 (Oct-Dec),1.45,9401.5,100.0,18,4.64
KS-CRAFT-0070,Ajrakh Handblock Print,Gujarat,Textiles,Organic Modal Cotton,8,13,756.9,600.0,4800.0,5556.9,6946.12,1,Pomegranate Rind Extract,Q3 (Jul-Sep),1.15,9673.99,99.9,24,4.69
KS-CRAFT-0071,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,5,10,1254.32,560.0,2800.0,4054.32,5067.9,0,Vegetable Dye Borders,Q1 (Jan-Mar),1.1,6125.56,82.7,14,4.87
KS-CRAFT-0072,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,3,26,1137.65,560.0,1680.0,2817.65,3522.06,1,Vegetable Dye Borders,Q4 (Oct-Dec),1.45,6786.12,100.0,19,4.79
KS-CRAFT-0073,Channapatna Lacquerware,Karnataka,Woodcraft,Seasoned Hale Wood & Vegetable Lac,4,18,335.0,650.0,2600.0,2935.0,3668.75,1,Natural Vegetable Resins,Q4 (Oct-Dec),1.45,6768.81,100.0,18,4.9
KS-CRAFT-0074,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,6,12,4985.15,620.0,3720.0,8705.15,10881.44,1,Vegetable Dye Blend,Q4 (Oct-Dec),1.45,19442.89,100.0,25,5.0
KS-CRAFT-0075,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,12,15,1174.82,540.0,6480.0,7654.82,9568.52,0,Natural Beeswax Patina,Q4 (Oct-Dec),1.45,15607.02,100.0,24,4.55
KS-CRAFT-0076,Bastar Wrought Iron,Chhattisgarh,Metalwork,Hand-Forged Recycled Iron,2,22,711.12,540.0,1080.0,1791.12,2238.9,1,Black Oxide Patina,Q3 (Jul-Sep),1.15,3439.56,93.4,20,4.53
KS-CRAFT-0077,Bastar Wrought Iron,Chhattisgarh,Metalwork,Hand-Forged Recycled Iron,5,15,1426.14,540.0,2700.0,4126.14,5157.68,0,Charcoal Forge Oxidation,Q4 (Oct-Dec),1.45,8177.65,99.5,24,4.46
KS-CRAFT-0078,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,6,12,2579.15,560.0,3360.0,5939.15,7423.94,1,Natural Unbleached Wool Hues,Q4 (Oct-Dec),1.45,12762.96,100.0,20,4.68
KS-CRAFT-0079,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,7,3,2438.8,560.0,3920.0,6358.8,7948.5,1,Vegetable Dye Borders,Q1 (Jan-Mar),1.1,10686.29,96.2,17,4.85
KS-CRAFT-0080,Channapatna Lacquerware,Karnataka,Woodcraft,Seasoned Hale Wood & Vegetable Lac,5,8,734.89,650.0,3250.0,3984.89,4981.11,1,Natural Vegetable Resins,Q3 (Jul-Sep),1.15,7230.66,95.7,24,4.77
KS-CRAFT-0081,Bastar Wrought Iron,Chhattisgarh,Metalwork,Hand-Forged Recycled Iron,6,21,475.26,540.0,3240.0,3715.26,4644.08,0,Charcoal Forge Oxidation,Q1 (Jan-Mar),1.1,5664.06,73.3,17,4.67
KS-CRAFT-0082,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,8,4,1339.04,560.0,4480.0,5819.04,7273.8,1,Natural Unbleached Wool Hues,Q2 (Apr-Jun),0.95,8019.13,76.3,14,4.78
KS-CRAFT-0083,Kashmiri Pashmina,Jammu & Kashmir,Textiles,Grade-A Changthangi Cashmere,12,27,6163.16,750.0,9000.0,15163.16,18953.95,1,Walnut Hull & Saffron Tint,Q2 (Apr-Jun),0.95,23732.21,79.1,15,4.96
KS-CRAFT-0084,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,8,32,816.92,560.0,4480.0,5296.92,6621.15,1,Natural Unbleached Wool Hues,Q3 (Jul-Sep),1.15,9826.23,99.9,26,4.72
KS-CRAFT-0085,Jaipur Blue Pottery,Rajasthan,Pottery,"Quartz Powder, Fuller's Earth & Glass",5,15,1422.1,580.0,2900.0,4322.1,5402.62,0,Copper Oxide Green Glaze,Q3 (Jul-Sep),1.15,6483.06,80.5,16,4.52
KS-CRAFT-0086,Channapatna Lacquerware,Karnataka,Woodcraft,Seasoned Hale Wood & Vegetable Lac,4,6,442.14,650.0,2600.0,3042.14,3802.67,1,Natural Vegetable Resins,Q1 (Jan-Mar),1.1,5169.15,95.3,23,4.71
KS-CRAFT-0087,Ajrakh Handblock Print,Gujarat,Textiles,Organic Modal Cotton,8,19,885.2,600.0,4800.0,5685.2,7106.5,1,16-Stage Natural Indigo & Madder,Q2 (Apr-Jun),0.95,8695.46,83.2,19,4.63
KS-CRAFT-0088,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,7,11,1456.75,560.0,3920.0,5376.75,6720.94,1,Vegetable Dye Borders,Q1 (Jan-Mar),1.1,8903.87,89.0,17,4.85
KS-CRAFT-0089,Ajrakh Handblock Print,Gujarat,Textiles,Organic Modal Cotton,4,33,985.46,600.0,2400.0,3385.46,4231.82,0,Pomegranate Rind Extract,Q3 (Jul-Sep),1.15,5866.07,79.9,15,4.79
KS-CRAFT-0090,Mithila Madhubani,Bihar,Folk Painting,Handmade Recycled Paper & Canvas,7,28,951.8,520.0,3640.0,4591.8,5739.75,0,Organic Mineral Pigments,Q2 (Apr-Jun),0.95,6023.64,66.6,13,4.58
KS-CRAFT-0091,Ajrakh Handblock Print,Gujarat,Textiles,Organic Modal Cotton,7,26,1171.54,600.0,4200.0,5371.54,6714.43,1,16-Stage Natural Indigo & Madder,Q3 (Jul-Sep),1.15,10105.93,95.6,25,4.63
KS-CRAFT-0092,Kashmiri Pashmina,Jammu & Kashmir,Textiles,Grade-A Changthangi Cashmere,9,32,10536.34,750.0,6750.0,17286.34,21607.92,1,Pure Natural Cashmere,Q2 (Apr-Jun),0.95,28066.23,73.0,13,4.81
KS-CRAFT-0093,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,3,37,1222.64,560.0,1680.0,2902.64,3628.3,1,Vegetable Dye Borders,Q1 (Jan-Mar),1.1,5423.15,95.9,22,4.79
KS-CRAFT-0094,Kashmiri Pashmina,Jammu & Kashmir,Textiles,Grade-A Changthangi Cashmere,20,34,10721.76,750.0,15000.0,25721.76,32152.2,1,Pure Natural Cashmere,Q2 (Apr-Jun),0.95,39588.29,76.3,16,5.0
KS-CRAFT-0095,Ajrakh Handblock Print,Gujarat,Textiles,Organic Modal Cotton,8,25,1151.0,600.0,4800.0,5951.0,7438.75,1,Pomegranate Rind Extract,Q1 (Jan-Mar),1.1,10363.76,85.1,21,4.66
KS-CRAFT-0096,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,4,18,2394.91,540.0,2160.0,4554.91,5693.64,0,Natural Beeswax Patina,Q1 (Jan-Mar),1.1,6600.45,81.9,16,4.5
KS-CRAFT-0097,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,6,3,2398.42,540.0,3240.0,5638.42,7048.02,1,Natural Beeswax Patina,Q3 (Jul-Sep),1.15,10016.67,94.6,23,4.48
KS-CRAFT-0098,Pochampally Ikat,Telangana,Textiles,Pure Handloom Silk,3,18,2131.43,680.0,2040.0,4171.43,5214.29,1,Natural Indigo/Madder,Q2 (Apr-Jun),0.95,6069.13,72.2,17,4.78
KS-CRAFT-0099,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,12,35,5545.47,620.0,7440.0,12985.47,16231.84,1,Vegetable Dye Blend,Q4 (Oct-Dec),1.45,32133.49,100.0,18,4.95
KS-CRAFT-0100,Bastar Wrought Iron,Chhattisgarh,Metalwork,Hand-Forged Recycled Iron,5,4,1107.67,540.0,2700.0,3807.67,4759.59,1,Black Oxide Patina,Q3 (Jul-Sep),1.15,6707.63,93.1,17,4.63
KS-CRAFT-0101,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,3,12,1379.8,560.0,1680.0,3059.8,3824.75,1,Vegetable Dye Borders,Q1 (Jan-Mar),1.1,5243.65,91.2,21,4.75
KS-CRAFT-0102,Kashmiri Pashmina,Jammu & Kashmir,Textiles,Grade-A Changthangi Cashmere,21,30,9302.74,750.0,15750.0,25052.74,31315.93,1,Walnut Hull & Saffron Tint,Q3 (Jul-Sep),1.15,49784.16,96.0,23,4.98
KS-CRAFT-0103,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,11,29,2587.37,540.0,5940.0,8527.37,10659.21,1,Oxidized Brass Finish,Q4 (Oct-Dec),1.45,20348.91,100.0,20,4.53
KS-CRAFT-0104,Channapatna Lacquerware,Karnataka,Woodcraft,Seasoned Hale Wood & Vegetable Lac,2,33,730.77,650.0,1300.0,2030.77,2538.46,1,Organic Turmeric & Indigo Lacquer,Q3 (Jul-Sep),1.15,3791.06,88.8,21,4.85
KS-CRAFT-0105,Bastar Wrought Iron,Chhattisgarh,Metalwork,Hand-Forged Recycled Iron,6,38,1452.29,540.0,3240.0,4692.29,5865.36,1,Charcoal Forge Oxidation,Q1 (Jan-Mar),1.1,8838.96,94.9,24,4.56
KS-CRAFT-0106,Pochampally Ikat,Telangana,Textiles,Pure Handloom Silk,7,35,2114.28,680.0,4760.0,6874.28,8592.85,1,Vegetable Dye Blend,Q3 (Jul-Sep),1.15,13118.07,89.0,22,4.74
